ID,Name,Description,URL,Created,Vendor,Types,"Access Modes","Alt. Names / Keywords","Use Proxy","Friendly URL",Subjects,"More Info","Librarian Review","Map Ct",New,Trial,Featured,"Permitted Uses",Hidden,"Internal Note",Owner,"Landing Page"
50178470,"17th and 18th Century Burney Newspapers Collection","The newspapers and news pamphlets gathered by the Reverend Charles Burney (1757 - 1817) represent the largest single collection of 17th and 18th century English news media. The 700 or so bound volumes of newspapers and news pamphlets were published mostly in London, however there are also some English provincial, Irish and Scottish papers, and a few examples from the American colonies, Europe and India.",https://infotrac.gale.com/itweb/mlin_m_bostcoll?db=BBCN,"2019-09-18 04:08:05 PM",Gale,,,,No,,"History, Law",,,9,No,No,No,,No,"Law resource, requested add to A-Z by B. Lehman","Scheopner, Erin Kate",OFF
50178124,"17th and 18th Century Nichols Newspapers Collection","The 17th and 18th Century Nichols Newspapers Collection features the newspapers, periodicals, pamphlets and broadsheets that form the Nichols newspaper collection held at the Bodleian library in Oxford, UK. All 296 volumes of bound material, covering the period 1672-1737 are presented in digitized format here. This collection charts the history of the development of the press in England and provides invaluable insight into 17th-18th century England. The collection includes approximately 300 primary titles of newspapers and periodicals and 300 pamphlets and broadsheets.",https://infotrac.gale.com/itweb/mlin_m_bostcoll?db=NICN,"2019-09-18 04:04:57 PM",Gale,,,,No,,"History, Law",,,4,No,No,No,,No,"Law resources, requested add to A-Z by B Lehman","Scheopner, Erin Kate",OFF
79229631,"1980s Culture and Society","Compare grassroots media with official records to explore political, social and welfare issues of the 1980s such as the rise of conservatism, nuclear threat, and the AIDS crisis.",https://www.1980scultureandsociety.amdigital.co.uk,"2024-12-12 10:32:56 AM","Adam Matthew",,,,Yes,,"History, Nursing & Health Sciences, Political Science & Government",,,0,No,No,No,,No,HIP,"Scheopner, Erin Kate",OFF
5079262,"19th Century British Newspapers","Full runs of influential national and regional newspapers representing different political and cultural segments of 19th century British society.",https://infotrac.galegroup.com/itweb/mlin_m_bostcoll?db=BNCN,"2014-09-17 04:00:18 PM",Gale,"Primary sources;Historical newspapers",,,No,,History,,,35,No,No,No,,No,HIP,"Libraries, Boston College",OFF
73652153,"19th Century British Society","Trial through 10/30/2023

This resource covers British Society of the long 19th century, 1789-1914. It contains an extensive range of primary and secondary resources, including full books, selected chapters, and journal articles, as well as new thematic essays and videos, and subject introductions on ten key structural themes, as well as images useful for instruction.

Please send feedback to  Steve Runge",https://www.taylorfrancis.com/british-society/?context=hobs,"2023-09-25 01:26:33 PM","Taylor & Francis",,,,Yes,,,,,0,No,No,No,,Yes,ENP,"Runge, Steve",OFF
5087813,"2012 Implan County Data for Suffolk and Middlesex County","BC login and software download required.  IMPLAN provides U.S. economic impact data.  We subscribe to the 2012 IMPLAN County Data for Suffolk and Middlesex County for 5 users. The economic impact data is similar to BEA's RIMS II impact data.",https://library.bc.edu/secure/res/implan.html,"2014-09-18 11:44:28 AM",,,,,No,,"Data Services",,,0,No,No,No,,No,,"eResources account, Library",OFF
71954877,"A History of the Desire for Christian Unity Online","A reference work on the history of ecumenism within Christianity.",https://referenceworks.brillonline.com/browse/a-history-of-the-desire-for-christian-unity-online,"2023-05-23 01:09:33 PM",Brill,,,,Yes,,Theology,,,1,No,No,No,,No,TMLP,"Moran, Jennifer",OFF
5058381,Abbreviationes,"Abbreviationes comprises over 70,000 entries with references to manuscripts. Based on a large number of manuscripts from all fields, held at a wide variety of libraries throughout Europe  from Catania in the South, Uppsala in the North, Coimbra in the West to St. Petersburg in the East, Abbreviationes includes large collections such as the manuscripts held by the Vatican Library and the libraries at Oxford and Paris as well as many smaller collections. Major collections in the U.S. such as the manuscripts held by the Morgan Library (New York City) and the Huntington Library (San Marino, California), are also included. The database covers the period from the 8th century up to and including the 15th century.",https://www.ruhr-uni-bochum.de/philosophy/projects/abbreviationes/servers.html,"2014-09-16 03:26:38 PM",,Dictionaries,,,Yes,,,,,0,No,No,No,,No,LAW,"LibApps, Asset Manager",OFF
1589008,"Academic OneFile","Articles in journals, magazines, newspapers, and other formats. Extensive coverage of the physical sciences, technology, medicine, social sciences, the arts, theology, and literature. There are also video files, podcasts and transcripts from AP,NPR, CNN, CBC and full-text of the New York Times back to 1995.",https://go.gale.com/ps/i.do?p=AONE&sw=w&u=mlin_m_bostcoll&v=2.1&pg=AdvancedSearch&it=static&sid=AONE,"2011-01-06 11:20:02 AM",Gale,Articles;News,,,No,,"Environmental Studies, Interdisciplinary, Music, Sociology & Anthropology",,,166,No,No,No,,No,,"LibApps, Asset Manager",OFF
47457888,"Academic Video Online","Trial through: May 1st, 2019    Description: 62,000 multidisciplinary video titles including 17,000 exclusive to Alexander Street.    Please send feedback to: Nina Bogdanovsky  bogdanon@bc.edu",https://video.alexanderstreet.com/,"2019-03-19 12:22:49 PM","Alexander Street Press","Streaming Video",,AVON,Yes,,"Film Studies",,,0,No,No,No,,Yes,MDP,"Bogdanovsky, Nina",OFF
50656185,"Access Problem-Test Database",,,"2019-10-15 03:32:21 PM",,,,"This test database has access problems.",No,,,,,0,Yes,No,No,,Yes,,"Kallemeyn, Terra",OFF
26021144,"Access World News","A collection of local, regional, and international news sources.  Additionally it provides access to many sources of foreign news in translation.",https://infoweb.newsbank.com/apps/news/advanced-search?p=AWNB&f=advanced,"2016-10-13 09:30:25 AM",Readex,News,,,Yes,,"Business, Communication, International Studies",,,104,No,No,No,,No,,"Strauber, Chris",OFF
60679510,"Accessible Archives","Digital transcripts of 19th and early 20th century publications. Includes African American publications such as The Colored American (1837-1841) and The Negro Business League Herald (1909) as well as women's history such as The Lily. Also includes some Pennsylvania history.",https://history-commons.net/modules/,"2021-03-25 04:52:17 PM",,,,,Yes,,"African & African Diaspora Studies, History",,,1,No,No,No,,No,"Umbrella title requested by B. Lehman","Scheopner, Erin Kate",OFF
1589026,AccessScience,"A quality reference resource covering topics across the breadth of the sciences, AccessScience provides individual articles, along with extensive links to key primary literature, videos and animations. It is updated weekly with breakthroughs and new discoveries in the sciences. Biographical information also included. Based on the McGraw-Hill Encyclopedia of Science and Technology and the McGraw-Hill Yearbook of Science and Technology.",https://www.accessscience.com/,"2011-01-06 11:20:02 AM",,Articles;Dictionaries,,,Yes,,"Biology, Chemistry, Computer Science, Earth & Environmental Sciences, Environmental Studies, Mathematics, Physics",,,16,No,No,No,,Yes,INP,"eResources account, Library",OFF
1589399,AccessUN,"The premier index to United Nations documents including Official Records, masthead documents, draft resolutions, meeting records, UN Sales Publications, and the UN Treaty Series citations. Coverage runs from 1991 to present.  Includes the full-text of several thousand UN documents.",https://infoweb.newsbank.com/?db=UNAB,"2014-06-09 11:15:03 PM",Readex,,,,Yes,,"International Studies, Law, Political Science & Government",,,18,No,No,No,,Yes,"PSP
On Thu, Apr 4, 2024 at 10:05 AM Luckett, Erin  wrote:
AccessUN was shut down at the end of the March. We took this step with great reluctance and for just one reason: The server that supports the collection is over 30 years old and dying fast, and there’s no way to fix it.","Leveque, Sophie",OFF
1589529,"ACLS Humanities E-Book Project","Each year, several hundred already-published scholarly titles are converted into ebooks. The criteria for inclusion in the collection stress a title's importance to humanistic studies.",https://www.fulcrum.org/HEB,"2014-06-10 12:06:48 AM",,"E-book/Text collections",,,Yes,,,,,6,No,No,No,,No,HIP,"LibApps, Asset Manager",OFF
1589025,"ACM Digital Library","Bibliographic information, abstracts, reviews, and the full-text for articles published in the Association for Computing Machines (ACM) periodicals and proceedings since its founding in 1947 are available in the library together with selected works published by affiliated organizations.",https://dl.acm.org,"2011-01-06 11:20:02 AM",,"Articles;Conference proceedings",,,Yes,,"Biology, Computer Science, Engineering, Mathematics",,,10,No,No,No,,No,,"LibApps, Asset Manager",OFF
4926401,"ACS Style Guide - American Chemical Society Style Guide","The ACS Style Guide is the primary style resource for chemistry and many related areas in the sciences.",https://pubs.acs.org/doi/book/10.1021/acsguide,"2014-09-09 01:24:24 PM",,Reference,,,Yes,,Chemistry,,,0,No,No,No,,Yes,,"LibApps, Asset Manager",OFF
5075867,"Acta Sanctorum","The Acta Sanctorum are a principal source of research into the societies and cultures of early Christian and medieval Europe, published over a period of three hundred years by the Socit Des Bollandistes. This resource brings together materials on the lives of the saints from the beginning of the Christian era to the end of the sixteenth century. A new cross-searchable facility is available which allows users to find entries on search terms and texts that are included in both Acta Sanctorum Database and Patrologia Latina Database in one search. An additional resource, Brill's edition of Jan Frederik Niermeyer's Mediae Latinitatis Lexicon Minus, has also been made available. It provides easy reference to this essential resource of Medieval Latin studies and is not available in any other electronic format.",https://www.proquest.com/actasanctorum?accountid=9673,"2014-09-17 01:03:08 PM",Proquest,"Primary sources",,,No,,Theology,,,5,No,No,No,,No,,"LibApps, Asset Manager",OFF
51110837,"Adam Matthew Primary Source Collections","Access point for Boston College's subscriptions to different Adam Matthew primary source collections. These sets focus on diverse documents (including letters, journals, manuscripts, illustrations, and some film) from the medieval period to the 20th century drawn from different British and United States libraries and archives. Collections emphasizes some international components, highlighting overseas trade within the Britain Empire and US connections with India and China.",https://proxy.openathens.net/login?qurl=https%3A%2F%2Fwww.login.amdigital.co.uk%2FWelcome%2Fg__ES--cxo2E3L8zwVaMp0Yw&entityID=https%3A%2F%2Fidp.bc.edu%2Fopenathens,"2019-11-13 03:43:29 PM","Adam Matthew",,,,No,,"African & African Diaspora Studies, Asian Studies, History, International Studies",,,1,No,No,No,,No,"HIP

Database URL needs explicit proxy.openathens address in order to use the Welcome page as an access point. Direct URLs to individual collections can use the redirector. - el 6/21/2023","LibApps, Asset Manager",OFF
5078416,"Adams Papers Digital Edition","Comprises John Adams's complete diaries, selected legal papers, and the ongoing series of family correspondence and state papers. This XML edition presents in a searchable online environment all 30 volumes of the Adams Papers from the founding generation published through 2006. The contents are fully annotated, feature linked cross-references, and may be accessed by date, series, author, or recipient, as well as through a master index (coming shortly). Future volumes will appear in installments.",https://rotunda.upress.virginia.edu/founders/ADMS.html,"2014-09-17 03:26:47 PM","University of Virginia",,,,Yes,,"History, Law",,,5,No,No,No,,No,,"Libraries, Boston College",OFF
47354215,"African American Historical Serials Collection","Developed in conjunction with the American Theological Library Association (ATLA), this database provides access to formerly widely-dispersed and endangered materials, documenting the history of African American life and religious organizations with materials published between 1829 and 1922.","https://search.ebscohost.com/login.aspx?authtype=ip,shib&groupid=main&profile=ehost&defaultdb=h7i&custid=s4194587","2019-03-11 04:34:20 PM",EBSCO,,,,No,,"African & African Diaspora Studies",,,4,No,No,No,,No,ADP,"Scheopner, Erin Kate",OFF
1589009,"African American Newspapers: The 19th Century","Complete texts of major 19th century African American newspapers. Includes first-hand reports of events and issues of the day, as well as biographies, vital statistics, essays and editorials, poetry and prose, and advertisements.",https://history-commons.net/search/?i=collections&modules=HICO_AASP_AN02&modules=HICO_AASP_AN01&modules=HICO_AASP_AN03&modules=HICO_AASP_AN05&modules=HICO_AASP_AN04&modules=HICO_AASP_AN13&modules=HICO_AASP_AN06&modules=HICO_AASP_AN15&modules=HICO_AASP_AN12&modules=HICO_AASP_AN11&modules=HICO_AASP_AN10&modules=HICO_AASP_AN09&modules=HICO_AASP_AN08&modules=HICO_AASP_AN07,"2011-01-06 11:20:02 AM",,"Primary sources;Historical newspapers",,,Yes,,"African & African Diaspora Studies, English Language & Literature, History",,,41,No,No,No,,No,ADP,"Scheopner, Erin Kate",OFF
1589530,"African American Poetry","African American Poetry contains nearly 3,000 poems by African American poets of the eighteenth and nineteenth centuries. It provides a comprehensive survey of the early history of African American poetry, from the earliest published African American poems to the works of Paul Laurence Dunbar.",https://search.proquest.com/lion/docview/2343197121?accountid=9673,"2014-06-10 12:09:28 AM",Proquest,"E-book/Text collections;Primary sources",,"African American Poetry: 1750-1900",No,,"African & African Diaspora Studies, English Language & Literature",,,4,No,No,No,,Yes,,"LibApps, Asset Manager",OFF
50335030,"African Diaspora, 1860-Present","Trial through October 26, 2019    The African Diaspora Online, 1860-Present includes 100,000 pages of international primary and secondary source documents, and 50 hours of video, curated for the Black Studies, African American History, and World History scholar. The collection includes 70,000 pages of never-before digitized primary documents, including personal papers, organizational papers, journals, newsletters, court documents, letters, and ephemera from the Caribbean, Brazil, India, United Kingdom, and France.     Please send feedback to Liaison for African & African Diaspora Studies: lawrence.busenbark@bc.edu",https://search.alexanderstreet.com/afdi,"2019-09-26 03:26:29 PM","Alexander Street Press",,,,Yes,,"African & African Diaspora Studies, History",,,0,No,No,No,,Yes,ADP,"Busenbark, Lawrence",OFF
58151006,"African Newspapers Series 1 & 2","Trial through November 24, 2020    African Newspapers Series 1 (1800-11922) and Series 2 (1835-1925) provide coverage of the people, issues and events that shaped the continent during the 19th and early 20th centuries. Featuring titles from a variety of African countries, this resource chronicles the evolution of Africa through eyewitness reporting, editorials, legislative information, letters, poetry, advertisements, obituaries and other items.  Content is chiefly in English, French, Portuguese, or German.    Please send feedback to  Larry Busenbark or  Bee Lehman",https://infoweb.newsbank.com/apps/readex/welcome?p=WHNPX&val-database-0=WHNPAFR1%7CWHNPAFR2,"2020-10-20 04:57:06 PM",Readex,,,,Yes,,"African & African Diaspora Studies",,,0,No,No,No,,Yes,ADP,"Busenbark, Lawrence",OFF
1589176,AgeLine,"AgeLine indexes the literature on social gerontology in books, journals, dissertations, research reports, consumer guides and media, plus AARP publications. Topics include government sponsored programs for elders, healthcare costs and policy, elder care, financial and retirement planning as well as health and fitness. THE AARP (American Association of Retired Persons) produces the database, which provides indexing and abstracts.","https://search.ebscohost.com/login.aspx?authtype=ip,shib&profile=ehost&defaultdb=gnh&custid=s4194587","2014-06-09 03:18:32 PM",EBSCO,Articles,,,No,,"Nursing & Health Sciences, Social Work",,,8,No,No,No,,No,,"Kidwell, Katie",OFF
1589177,"AGRICOLA National Agricultural Library Article Citation Database","AGRICOLA is a database of citations to the agricultural and related literature created by the National Agricultural Library.",https://agricola.nal.usda.gov/cgi-bin/Pwebrecon.cgi?DB=local&PAGE=bbSearch&STARTDB=AGRIDB,"2014-06-09 03:19:23 PM",,Articles,,,No,,,,,4,No,No,No,,No,,"Curtis, Nancy",OFF
1589062,"Agricultural & Environmental Science Database","Searches across AGRICOLA, TOXLINE, ESPM (Environmental Sciences and Pollution Management) and Environmental Impact Statements (EIS) databases to cover topics such as the effects of pollution on people and animals and environmental action and policy responses.",https://search.proquest.com/agricenvironm/advanced/science/fromDatabasesLayer?accountid=9673,"2011-01-06 11:20:02 AM",Proquest,Articles,,,No,,"Biology, Earth & Environmental Sciences, Environmental Studies",,,42,No,No,No,,No,,"Kuhlman, Elizabeth",OFF
75116277,Al-Monitor,"Al-Monitor.com is a trusted and award-winning independent source of Middle East news and analysis, founded in 2012.",https://www.al-monitor.com/,"2024-01-23 09:06:56 AM",,,,,Yes,,"International Studies, Political Science & Government",,,1,No,No,No,,No,PSP,"Leveque, Sophie",OFF
5087617,"All About Strength Training","This online visualization tool package for learning anatomy and kinesiology must be downloaded to your computer for use. It includes visualizations of how muscles work in motion as well as strength training videos. BC username and password required.",https://library.bc.edu/secure/res/strength.html,"2014-09-18 11:37:17 AM",,Multimedia,,,No,,"Biology, Nursing & Health Sciences",,,0,No,No,No,,No,BIP,"eResources account, Library",OFF
1589019,Alt-HealthWatch,"A full text database focused on complementary, alternative and integrated approaches to health care and wellness. It provides information on both the professional and consumer level. The database covers international periodicals, peer-reviewed journals, academic and professional publications, magazines, consumer newsletters and newspapers, research reports, and association newsletters with material dating back to 1990.","https://search.ebscohost.com/login.asp?profile=ahw&authtype=ip,shib&custid=s4194587","2011-01-06 11:20:02 AM",EBSCO,Articles,,"Alt HealthWatch, Alt-Health Watch",No,,"Nursing & Health Sciences",,,5,No,No,No,,No,,"Florin, Ben",OFF
1589010,Alt-PressWatch,"Newspapers, magazines, and academic journals of the alternative press. 1970-present.",https://search.proquest.com/altpresswatch/advanced?accountid=9673,"2011-01-06 11:20:02 AM",Proquest,"Articles;Alternative media",,,No,,"Political Science & Government",,,89,No,No,No,,No,,"Libraries, Boston College",OFF
1589159,"Alternative Press Index","Newspaper and magazine articles from international alternative and radical press. 1969-present.","https://search.ebscohost.com/login.aspx?authtype=ip,shib&profile=ehost&defaultdb=apn&defaultdb=alr&custid=s4194587","2012-05-07 11:06:49 PM",EBSCO,"Articles;Alternative media",,,No,,,,,14,No,No,No,,No,,"Libraries, Boston College",OFF
65537763,"Amateur Newspapers from the American Antiquarian Society Digital Archive (AAS)","Trial through 3/13/2022    Interface in English, content predominately in English.  Consists of tens of thousands of issues. There are more than 3,300 titles, from every state except Alaska and Hawaii, plus a number of papers from Canada. Amateur newspapers range in size from miniature to quarto, and from two to as many as fifty or more pages. The AAS has been concentrating its efforts on acquiring amateur papers that were published in the United States and Canada during the 19th century. BC institutional login required.    Please send feedback to  Bee Lehman",https://infotrac.gale.com/itweb/mlin_m_bostcoll?db=AAN,"2022-02-15 03:52:22 PM",Gale,,,,No,,"Communication, History",,,0,No,No,No,,Yes,HIP,"LibApps, Asset Manager",OFF
38338861,"America in Records from Colonial Missionaries","British Archives Online provides American material from the archives of the United Society for the Propagation of the Gospel, 1635-1928. Missionaries in North America, as elsewhere, were often the only people recording and submitting regular reports of events from remote English-speaking communities around the world.",https://microform.digital/boa/collections/11/america-in-records-from-colonial-missionaries-1635-1928,"2017-12-18 11:43:50 AM","British Online Archives/ Microform Academic Publishers","Primary sources",,,Yes,,History,,,7,No,No,No,,No,,"Libraries, Boston College",OFF
1589011,"America: History & Life","Premier index of journal articles, book chapters, book reviews, and dissertations pertaining to the study of United States and Canadian History, from prehistory to the present. Coverage is 1910-present.","https://search.ebscohost.com/login.aspx?authtype=cookie,ip,shib&profile=advance&defaultdb=ahl&custid=s4194587","2011-01-06 11:20:02 AM",EBSCO,Articles,,,No,,"Education, History",,,114,No,No,No,,No,,"Libraries, Boston College",OFF
5079272,"America's Historical Imprints","Digitized early American monograph, pamphlet, and broadside collection. Includes American Broadsides and Ephemera, Series I; Early American Imprints, Series I: Evans, 1639-1800 & Library Company of Philadelphia Series I Supplement; Early American Imprints, Series II: Shaw-Shoemaker, 1801-1819 & Library Company of Philadelphia Series II Supplement.",https://infoweb.newsbank.com/?db=EAIX,"2014-09-17 04:00:44 PM",Readex,"Primary sources",,,Yes,,History,,,10,No,No,No,,No,,"Libraries, Boston College",OFF
37835673,"American Antiquarian Society (AAS) History Periodicals Collection (all 50 subsets)","The American Antiquarian Society Historical Periodicals database includes digitized images from American magazines and journals from 1684 - 1912. Detailing American history and culture, these specialized collections cover advertising, health, women's issues, science, the history of slavery, industry and professions, religious issues, culture and the arts, and much more.","https://search.ebscohost.com/login.aspx?authtype=ip,shib&profile=ehost&defaultdb=apd,ane,apm,afp,alm,bqp,bgp,tpp,bsj,bsi,cap,clp,csp,cos,cpp,cps,cep,dap,amr,fcf,flp,gic,hss,lpn,msp,mle,mcp,mpe,pfa,paw,pbe,eup,rpw,rpf,scp,sla,sdd,ssp,tpa,bsk,wpe,wpd,wpn,ald,alt,amp,app,acw,aml,asp&groupid=main&scope=site&custid=s4194587","2017-11-29 01:25:56 PM",EBSCO,"Primary sources",,,No,,"History, Interdisciplinary, Political Science & Government",,,9,No,No,No,,No,,"LibApps, Asset Manager",OFF
1589024,"American Bibliography of Slavic, East European, and Eurasian Studies (ABSEEES)","Bibliography provides information on East-Central Europe and the former Soviet Union. Some of the many subjects covered include: anthropology, culture & the arts, economics, education, and geography. Sources indexed include journals, books, dissertations, online resources and selected government publications published in the U.S. and Canada. 1939-present.","https://search.ebscohost.com/login.aspx?authtype=ip,shib&profile=ehost&defaultdb=sbh&custid=s4194587","2011-01-06 11:20:02 AM",EBSCO,Articles;Bibliographies,,,No,,"Asian Studies, International Studies, Slavic and Eastern Languages and Literatures",,,4,No,No,No,,No,,"Bogdanovsky, Nina",OFF
5088891,"American Chemical Society","Full-text access to the journals published by and in association with the American Chemical Society.",https://pubs.acs.org/about.html,"2014-09-18 12:35:16 PM",,Articles,,,Yes,,"Biology, Chemistry, Earth & Environmental Sciences, Physics",,,0,No,No,No,,No,,"LibApps, Asset Manager",OFF
1589404,"American Civil War Letters and Diaries","First-person accounts by over 2000 authors, both famous and obscure, of events in the U.S. Civil War.",https://search.alexanderstreet.com/cwld,"2014-06-09 11:16:40 PM","Alexander Street Press","E-book/Text collections;Primary sources",,,Yes,,History,,,17,No,No,No,,No,,"Libraries, Boston College",OFF
1589180,"American Drama, 1714-1915","Containing more than 1,500 dramatic works from the colonial period to the beginning of the twentieth century, American Drama 17141915 provides a comprehensive survey of American dramaturgy from its origins up to the era of sensational melodrama and manners comedy exemplified by the work of such playwrights as David Belasco, Clyde Fitch and William Vaughn Moody.",https://search.proquest.com/ad/literature/advanced?accountid=9673,"2014-06-09 03:24:56 PM",Proquest,"E-book/Text collections;Primary sources",,,No,,"English Language & Literature, Theatre & Dance",,,8,No,No,No,,Yes,,"Sturgeon, Stephen",OFF
3423601,"American Film Institute (AFI) Catalog","The AFI Catalog covers the history of American cinema comprehensively from 1893 to 1975, with full or short records for films from 1976 to the present. Records include comprehensive information on the films (cast, crew, production information, article references, etc.), and most have extensive plot summaries.",https://www.proquest.com/afi?accountid=9673,"2014-07-21 09:38:03 AM",Proquest,Catalogs,,,No,,"Film Studies",,,4,No,No,No,,No,,"Florin, Ben",OFF
5075969,"American Founding Era Collection","Digital editions of the papers of many of the major figures of the early republic including Adams, Hamilton, Jefferson, Madison, and Washington.",https://rotunda.upress.virginia.edu/founders/FGEA.html,"2014-09-17 01:08:23 PM",,"E-book/Text collections;Primary sources",,,Yes,,"History, Law, Political Science & Government",,,9,No,No,No,,No,,"Libraries, Boston College",OFF
5058366,"American Hospital Association Annual Survey Database","The AHA Annual Survey Database includes more than 800 data fields on 6,500 hospitals. This allows tracking of trends in hospital demographics, organizational structure, facilities and services, utilization data, community orientation indicators, expenses, and staffing.  Data from 1989 - 2017 (not all years).",https://libguides.bc.edu/workstations/aha,"2014-09-16 03:26:20 PM",,Data/statistics,,,No,,"Nursing & Health Sciences",,,1,No,No,No,,No,,"Kidwell, Katie",OFF
1589012,"American National Biography","Scholarly biographical articles with short bibliographies on deceased notable Americans.",https://www.anb.org/articles/index.html,"2011-01-06 11:20:02 AM",Oxford,Reference;Biographies,,,Yes,,"English Language & Literature, History, Reference",,,41,No,No,No,,No,,"Libraries, Boston College",OFF
